name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bremen,2025-10-01,58.2,38.9,48.3,58.2,36.5,46.5,39.6,72.7,0,0,0,,0,0,18.3,11.4,109.6,1031.4,16.2,23.2,81.6,7.1,6,10,2025-10-01T07:26:25,2025-10-01T19:01:27,0.31,Clear,Clear conditions throughout the day.,clear-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-02,61,39.2,49,61,34,47,39.9,72.7,0,0,0,,0,0,17.7,10.1,134.5,1029.7,1.6,19.6,74.9,6.4,5,10,2025-10-02T07:28:11,2025-10-02T18:59:04,0.35,Clear,Clear conditions throughout the day.,clear-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-03,58.7,41,50.5,58.7,37.6,48.8,38.7,66.1,0,0,0,,0,0,25.5,17.2,147.5,1020.7,81.7,18.7,41.2,3.7,2,10,2025-10-03T07:29:56,2025-10-03T18:56:41,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-04,57.4,48.8,51.9,57.4,42.1,50.1,47.5,85.3,1.028,100,79.17,rain,0,0,45,23,206.2,997.4,84.5,14.7,43.3,3.8,5,10,2025-10-04T07:31:42,2025-10-04T18:54:19,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-05,57.2,50.3,52.5,57.2,50.3,52.5,47.4,82.9,0.07,100,37.5,rain,0,0,39.1,22.6,244.1,1003.6,91.2,20.8,50.5,4.4,2,10,2025-10-05T07:33:28,2025-10-05T18:51:57,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-06,59.2,50.1,54.2,59.2,50.1,54.2,51.4,90.1,0.107,100,33.33,rain,0,0,31.8,19.9,265,1017.5,93,16.1,20.3,1.8,1,10,2025-10-06T07:35:14,2025-10-06T18:49:35,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-07,63.5,55.1,58.7,63.5,55.1,58.7,56.2,91.5,0,0,0,,0,0,17.4,12.9,230.4,1022.9,98.9,9.9,44.8,3.8,2,10,2025-10-07T07:37:00,2025-10-07T18:47:14,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-08,63.1,53,57.4,63.1,53,57.4,54.6,90.5,0.053,100,29.17,rain,0,0,18.1,11.6,253.5,1021,98.1,10.7,40.9,3.5,2,10,2025-10-08T07:38:47,2025-10-08T18:44:54,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-09,58.3,48.6,54.6,58.3,47.1,54.5,50.6,86.9,0.004,100,4.17,rain,0,0,21.5,13.4,254,1023.5,77.6,17,47.6,4,3,10,2025-10-09T07:40:34,2025-10-09T18:42:34,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2025-10-10,61.4,49.5,56.5,61.4,47.3,56.4,52.9,87.9,0,0,0,rain,0,0,23,13.4,270.2,1029.1,77.9,16.4,48.9,4.4,2,10,2025-10-10T07:42:21,2025-10-10T18:40:15,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E8845,04275,00704,05014,00691,00044,05822"
